Entity	Sentence	Uri	WikiTitle
	The airline and railway said they 'd form a working group to resolve such problems as security checks on the luggage and making sure the bags get to the airport from the train station on time .		
	Deutsche Bahn chief Johannes Ludewig said his railway also would work to coordinate schedules better with Lufthansa flights to make connections easier   and allow for combined train and plane tickets .		
	( pfg-aet )		
guru EntityMentionSEP	Cult guru 's lawyers lash at prosecutors   court	NA	 WikiLabelSEP
cult EntityMentionSEP nerve gas EntityMentionSEP Tokyo EntityMentionSEP	"Attorneys for a cult guru accused of murder in the nerve gas attack on Tokyo subways denounced his trial Thursday as "" unfair '' because some of the prosecutors ' charges are contradicted by testimony from their own witnesses ."	NA Q1502615	 WikiLabelSEP gent WikiLabelSEP
Shoko Asahara EntityMentionSEP Aum Shinri Kyo EntityMentionSEP sarin attack EntityMentionSEP	Shoko Asahara   the leader of the Aum Shinri Kyo cult   is on trial on 17 charges in the March 20   1995 sarin attack that killed 12 people and sickened thousands .	Q6583 NA NA	sahara WikiLabelSEP nrikyo WikiLabelSEP as attack on the Tokyo subway WikiLabelSEP
gassing EntityMentionSEP	Other cult leaders have also been charged in the gassing as well as in other slayings .	NA	mber WikiLabelSEP
defense EntityMentionSEP	"Osamu Watanabe   Asahara 's chief defense lawyer   said the trial should not be allowed to go on . """	NA	 (legal) WikiLabelSEP
	We must wonder why such abnormal and unfair proceedings are tolerated .		
Tokyo District Court EntityMentionSEP	The court has been negligent   '' Watanabe told the Tokyo District Court .	NA	istrict Court WikiLabelSEP
	The prosecutors say Asahara   accused of masterminding the subway gassing   decided on the attack on March 18   1995 while riding in a car with his followers .		
prosecution EntityMentionSEP	But Watanabe pointed out that top cultist Yoshihiro Inoue   a key witness for the prosecution   told the court that Asahara was still undecided on the timing of the attack at that time .	Q224457	tor WikiLabelSEP
	Inoue quoted Asahara as saying that he needed to meditate about it .		
	Last April   the defense raised similar objections   but the prosecutors refused to change their statement .		
	( cw )		
libel EntityMentionSEP damages EntityMentionSEP	Actress Brooke Shields accepts libel damages   apology over false	Q36496 NA	ion WikiLabelSEP  WikiLabelSEP
Brooke Shields EntityMentionSEP drug EntityMentionSEP Cannes Film Festival EntityMentionSEP	"Actress Brooke Shields on Monday accepted "" very substantial '' libel damages and a public apology over a newspaper article alleging that she was questioned by police for two hours in connection with drug offenses as she left the Cannes Film Festival ."	NA NA NA	Shields WikiLabelSEP  WikiLabelSEP Film Festival WikiLabelSEP
The Mail on Sunday EntityMentionSEP Nice Airport EntityMentionSEP French police EntityMentionSEP	"The Mail on Sunday reported May 24 in an "" exclusive '' that began on the front page and continued on page three that Miss Shields ' luggage was searched and her flight at the Nice Airport delayed while French police quizzed her ."	NA NA NA	l on Sunday WikiLabelSEP te d'Azur Airport WikiLabelSEP l Police (France) WikiLabelSEP
Associated Newspapers Ltd EntityMentionSEP	After the actress filed suit against Associated Newspapers Ltd .	NA	ted Newspapers WikiLabelSEP
retraction EntityMentionSEP	  the publisher of the Mail on Sunday   the paper 's editor and two Mail journalists   the Mail on Sunday published a front-page apology and retraction on May 31 .	Q36496	ion WikiLabelSEP
	"The retraction said the story was totally false and conceded Miss Shields had not even been stopped at the airport . """		
substance abuse EntityMentionSEP	The defendants recognize that Miss Shields is a staunch and committed anti-drug campaigner and that she has spent considerable amounts of time supporting substance abuse programs and raising much needed money for anti-drug abuse programs   '' said Claire Shields   the defendants ' attorney .	NA	ce abuse WikiLabelSEP
	"The newspaper 's front-page article "" must therefore have been especially hurtful to her and to her family   '' the attorney said ."		
	The Sunday paper 's editor   Jonathan Holborow   has written the actress   who was not present in court Monday   a personal letter of apology .		
	The amount of the damages was not disclosed .		
	( kg )		
tea EntityMentionSEP	Police identify substance in tea poisoning case	NA	 WikiLabelSEP
toxic EntityMentionSEP sodium compound EntityMentionSEP central nervous system EntityMentionSEP police EntityMentionSEP	The poison that sickened 10 Japanese company employees after they drank tea brewed from the same water pot was a toxic sodium compound that affects the central nervous system   police said Tuesday .	Q9973 NA Q9404	y WikiLabelSEP  WikiLabelSEP  nervous system WikiLabelSEP
	Police still had no clues to who might have put the chemical in the pot   which had been filled with water between Friday night and Monday   they added .		
wood preservative EntityMentionSEP Niigata EntityMentionSEP Tokyo EntityMentionSEP nausea EntityMentionSEP numbness EntityMentionSEP	The 10 workers at Xyence Co.   a wood preservative company in Niigata   256 kilometers ( 159 miles ) northwest of Tokyo   were hospitalized Monday after suffering nausea and numbness during their morning tea break .	NA NA NA NA	eservation WikiLabelSEP , Niigata WikiLabelSEP  WikiLabelSEP esia WikiLabelSEP
curry EntityMentionSEP cyanide EntityMentionSEP arsenic EntityMentionSEP	The case gave Japan another shock two weeks after curry laced with cyanide and arsenic killed four people at a festival in southwestern Japan .	NA	 WikiLabelSEP
copycat EntityMentionSEP	It also raised fears of copycat attacks .	Q83267	 crime WikiLabelSEP
sodium azide EntityMentionSEP air-bag EntityMentionSEP	Lab tests on the tea revealed traces of sodium azide   a chemical used in many industrial products   including air-bag mechanisms   said police spokesman Masashi Toma .	Q407627 NA	azide WikiLabelSEP  WikiLabelSEP
liver disorders EntityMentionSEP Niigata City EntityMentionSEP	The victims of the poisoning were in stable condition   but three suffered mild liver disorders Tuesday   said Yasuo Hirose   an official at the Niigata City Hospital .	NA NA	isease WikiLabelSEP , Niigata WikiLabelSEP
March 1995 EntityMentionSEP nerve gas EntityMentionSEP Aum Shinri Kyo EntityMentionSEP	The March 1995 nerve gas attack on Tokyo subways carried out by the Aum Shinri Kyo religious cult has made Japan particularly wary of poisoning incidents .	NA Q1502615 NA	 WikiLabelSEP gent WikiLabelSEP nrikyo WikiLabelSEP
	The subway gassing killed 12 people .		
	( js )		
	Spirited bidders snap up art seized from failed finance firms		
Thailand EntityMentionSEP auction EntityMentionSEP financial firms EntityMentionSEP	Paintings and other art objects once displayed in elegant offices were snapped up this weekend in Thailand at an auction of assets of collapsed financial firms   Thai media reported Sunday .	Q9884 NA NA	d WikiLabelSEP  WikiLabelSEP al institution WikiLabelSEP
baht EntityMentionSEP	The three-day auction of more than 1 000 items   which ended Sunday   was expected to bring in more than an initial estimate of 30 million baht ( dlrs 697 000 ) .	NA	ht WikiLabelSEP
liquidate EntityMentionSEP	The paintings   sculptures and other art-related objects were seized by Thailand 's Financial Restructuring Authority   a government agency set up to liquidate the assets of 56 finance companies which were shut down last year .	NA	tion WikiLabelSEP
International Monetary Fund EntityMentionSEP Thai economy EntityMentionSEP	The closings were required by the International Monetary Fund as part of its dlrs 17.2 billion bailout program for the depressed Thai economy .	NA NA	tional Monetary Fund WikiLabelSEP  of Thailand WikiLabelSEP
	"The proceeds of the auction will go to pay the debts of the failed companies . """		
Bangkok Post EntityMentionSEP	The going prices have been very high   much higher than I expected   '' an art gallery owner   Hongjorn Samae-ngamjaroen   was quoted as saying by the Bangkok Post .	Q367026	 Post WikiLabelSEP
	An untitled painting of a lotus pond by the late Thawee Nandakwang was sold for 2.8 million baht ( dlrs 65 000 )   way above its starting bid of 400 000 baht ( dlrs 9 300 ) .		
Chuan Leekpai EntityMentionSEP Christies EntityMentionSEP	Prime Minister Chuan Leekpai donated two of his sketches to the auction   which was handled by Christies   the British auction house .	NA Q1273069	eekpai WikiLabelSEP e's WikiLabelSEP
Queen Sirikit Natoinal Convention Center EntityMentionSEP	It was held at Bangkok 's Queen Sirikit Natoinal Convention Center .	NA	irikit National Convention Center WikiLabelSEP
Bear EntityMentionSEP	Alaska Hiker Killed by Bear	NA	 WikiLabelSEP
ANCHORAGE EntityMentionSEP Alaska EntityMentionSEP Alaska State Troopers EntityMentionSEP	ANCHORAGE   Alaska ( AP ) -- A man on a day hike in a rural area was killed when a bear bit his head   Alaska State Troopers said Wednesday .	NA NA NA	ge, Alaska WikiLabelSEP  WikiLabelSEP State Troopers WikiLabelSEP
Kenai National Wildlife Refuge EntityMentionSEP Soldotna EntityMentionSEP	Kenneth Cates   53   was found Wednesday morning on a horse trail in a heavily wooded area of the Kenai National Wildlife Refuge near his hometown of Soldotna .	NA NA	ational Wildlife Refuge WikiLabelSEP a, Alaska WikiLabelSEP
	The attack happened about six miles off a busy road .		
	The area is about 60 miles southwest of Anchorage .		
	The fatal mauling is thought to have happened Tuesday .		
	His only visible wound was a single bite to the head   said Bruce Bartley   a spokesman for the state Division of Wildlife Conservation .		
	State and federal wildlife officials were looking for the bear involved in the attack .		
	If the bear is judged to pose a continuing threat to humans it may be killed .		
rifle EntityMentionSEP	"Troopers said Cates ' .280 - caliber rifle and two spent shell casings were found near the body   along with traces of blood that suggest that Cates may have wounded the animal . """	NA	 WikiLabelSEP
	We do n't know if one was a warning shot and one real   or if there were two real shots   '' Bartley said .		
Audelio Luis Cortes EntityMentionSEP seismic EntityMentionSEP Swanson River EntityMentionSEP oil field EntityMentionSEP Kenai EntityMentionSEP	Cates ' death is the first fatal bear mauling in Alaska since Feb. 8   1998   when Audelio Luis Cortes   40   was killed while working on a seismic crew in the Swanson River oil field near Kenai .	NA Q453013 Q4022 NA Q797	 fatal bear attacks in North America by decade WikiLabelSEP ogy WikiLabelSEP  River WikiLabelSEP ld WikiLabelSEP Alaska WikiLabelSEP
	Cortes also died from a single head bite .		
Swiss EntityMentionSEP	Swiss government eyes shutting down nuclear power plants	Q11081619	land WikiLabelSEP
nuclear power EntityMentionSEP hydroelectric plants EntityMentionSEP	The Swiss government Thursday announced that it is planning the country 's eventual exit from nuclear power   saying it wants to support instead hydroelectric plants .	Q398902 NA	 power WikiLabelSEP ectricity WikiLabelSEP
environmental campaigners EntityMentionSEP four nuclear power plants EntityMentionSEP	But environmental campaigners criticized the lack of a timeframe for closing the country 's four nuclear power plants .	Q828524 NA	mentalism WikiLabelSEP  power in Switzerland WikiLabelSEP
power industry EntityMentionSEP nuclear waste EntityMentionSEP	Government officials will work with representatives of the power industry   environmental groups and local governments to discuss a timetable and removal of nuclear waste   a government statement said .	NA NA	c power industry WikiLabelSEP tive waste WikiLabelSEP
power stations EntityMentionSEP	It is unrealistic to build more power stations because of environmental concerns   the government has said .	NA	tation WikiLabelSEP
cabinet EntityMentionSEP	"Should the discussions between concerned parties fail to produce an agreed timetable   the federal cabinet will make the decision   said the statement . """	NA	 (government) WikiLabelSEP
Moritz Leuenberger EntityMentionSEP	"We have set out on a new course   '' said Federal Energy Minister Moritz Leuenberger . """	Q21450661	Leuenberger WikiLabelSEP
	Details have yet to be decided . ''		
electricity EntityMentionSEP	In a related move   the federal cabinet ordered energy officials to draw up a discussion paper on changing laws governing the domestic electricity market .	Q515	city WikiLabelSEP
infrastructure EntityMentionSEP	The government envisages the creation of a national company to own the power infrastructure .	NA	ructure WikiLabelSEP
liberalization EntityMentionSEP	A timeframe for carrying out liberalization of the electricity market itself remains to be determined   the cabinet said .	NA	ization WikiLabelSEP
	The cabinet said it wants to support hydroelectric plants .		
tax breaks EntityMentionSEP	It ordered a study of the possibility of tax breaks for hydroelectric plants and how to encourage upgrades of those plants .	Q4699995	ak WikiLabelSEP
trade fair EntityMentionSEP	Iraqi minister arrives in Iran to attend trade fair	Q7391292	air WikiLabelSEP
Iraq EntityMentionSEP Iranian EntityMentionSEP	Iraq 's trade minister arrived Wednesday to attend an international trade fair and hold discussions with his Iranian counterpart   the Islamic Republic News Agency reported .	NA	 WikiLabelSEP
delegation EntityMentionSEP Kermanshah province EntityMentionSEP	Mohammed Mehdi Saleh and his seven-member delegation traveled by land and crossed into Iran at the Khosrawi border point in the western Kermanshah province   the official news agency said .	Q36496 NA	ion WikiLabelSEP hah Province WikiLabelSEP
Mohammad Shariat-Madari EntityMentionSEP commercial EntityMentionSEP	It quoted Saleh as saying that he would discuss with Iran 's Trade Minister Mohammad Shariat-Madari ways of expanding commercial ties between the two countries .	NA Q9907	d Shariatmadari WikiLabelSEP e WikiLabelSEP
	The fair is scheduled from Oct. 1 to 11 .		
Tehran EntityMentionSEP	This is the second consecutive year that Iraq is attending the Tehran International Trade Fair   and points at the need for the two neighbors to do business despite their traditional animosity .	NA	 WikiLabelSEP
eight-year war EntityMentionSEP U.N. EntityMentionSEP	Iran and Iraq fought an eight-year war which ended with a U.N. - brokered cease-fire .	NA NA	aq War WikiLabelSEP Nations WikiLabelSEP
prisoners of war EntityMentionSEP	Iran claims Iraq still holds 4 000 prisoners of war while Iraq says Iran is holding about 20 000 prisoners .	NA	r of war WikiLabelSEP
	More than 1 million people were killed or wounded on both sides during the 1980-88 war .		
Baghdad EntityMentionSEP acts of sabotage EntityMentionSEP	Tehran accuses Baghdad of helping Iranian opposition groups and the two sides accuse each other of allowing infiltrators to sneak across their borders for acts of sabotage .	NA Q9907	 WikiLabelSEP e WikiLabelSEP
Taha Yassin Ramadan EntityMentionSEP 1991 Gulf War EntityMentionSEP Organization of the Islamic Conference EntityMentionSEP	In December   Iraqi Vice President Taha Yassin Ramadan became the highest-ranking Iraqi to visit Tehran since the 1991 Gulf War when he attended the Organization of the Islamic Conference meeting .	NA Q9852 NA	ssin Ramadan WikiLabelSEP r WikiLabelSEP ation of Islamic Cooperation WikiLabelSEP
	ti/vj		
Astronomers EntityMentionSEP	Astronomers Spot Storm on Mars	Q291824	mer WikiLabelSEP
cyclone EntityMentionSEP Texas EntityMentionSEP Mars EntityMentionSEP space telescope EntityMentionSEP	WASHINGTON ( AP ) -- A cyclone four times the size of Texas raged across the northern polar region of the planet Mars last month   according to space telescope views of the red planet .	NA NA	 WikiLabelSEP bservatory WikiLabelSEP
Space Telescope Science Institute EntityMentionSEP Hubble Space Telescope EntityMentionSEP Martian EntityMentionSEP ice EntityMentionSEP	The Space Telescope Science Institute announced today that the Hubble Space Telescope on April 27 spotted an immense Martian storm cloud   made up of water ice   that was 1 100 miles long and 900 wide .	NA NA NA	elescope Science Institute WikiLabelSEP Space Telescope WikiLabelSEP  WikiLabelSEP
hurricanes EntityMentionSEP Earth EntityMentionSEP	Bands of clouds spiraled in a counterclockwise motion around a 200-mile wide eye in the center of the storm   taking on a shape that resembled hurricanes on Earth   astronomers said .	NA NA	l cyclone WikiLabelSEP  WikiLabelSEP
	The storm occurred during the summer in Mars ' northern hemisphere .		
evaporated EntityMentionSEP carbon dioxide EntityMentionSEP ice sheet EntityMentionSEP Martian north pole EntityMentionSEP	It came after seasonal warming evaporated the carbon dioxide ice sheet that caps the Martian north pole during part of the year .	NA NA NA Q893509	tion WikiLabelSEP dioxide WikiLabelSEP et WikiLabelSEP Boreum WikiLabelSEP
Viking Orbiter EntityMentionSEP	Officials said the storm was three times larger than a storm spotted 20 years ago by the Viking Orbiter spacecraft .	Q768396	program WikiLabelSEP
wide field planetary camera EntityMentionSEP	Astronomers used a wide field planetary camera on Hubble to photograph Mars during the planet 's closest approach to Earth in nearly eight years .	NA	eld and Planetary Camera WikiLabelSEP
	Two pictures   taken six hours apart on April 27   showed that the storm moved slightly eastward .		
	In the second picture   the storm appeared to be in the process of breaking up .		
phenomenon EntityMentionSEP	Later pictures by the Hubble camera failed to find the storm   and astronomers said it could have been a short-lived phenomenon .	Q403599	non WikiLabelSEP
stolen art EntityMentionSEP	Austrian president tells Albright of effort to identify stolen art	NA	ft WikiLabelSEP
Austria EntityMentionSEP Secretary of State EntityMentionSEP Madeleine Albright EntityMentionSEP Holocaust EntityMentionSEP Nazis EntityMentionSEP	Austria 's president told Secretary of State Madeleine Albright on Thursday that the government was establishing a commission to identify art which was stolen from Holocaust victims by the Nazis .	NA NA NA NA	 WikiLabelSEP ry of State WikiLabelSEP ne Albright WikiLabelSEP ocaust WikiLabelSEP
Thomas Klestil EntityMentionSEP Moscow EntityMentionSEP	Austrian officials said President Thomas Klestil told Albright   who paid a one-day visit to Vienna after the Moscow summit   that the commission would first determine the origin of all art works owned by the Federal Museum here .	Q1774200 NA	Klestil WikiLabelSEP  WikiLabelSEP
	There was no statement on the art issue by U.S. officials .		
United States EntityMentionSEP Viktor Klima EntityMentionSEP Wolfgang Schuessel EntityMentionSEP	Albright left for the United States after meetings with Klestil   Chancellor Viktor Klima and Foreign Minister Wolfgang Schuessel .	NA Q21504577 NA	States WikiLabelSEP Klima WikiLabelSEP g Schüssel WikiLabelSEP
	Austria   the United States and 37 other nations have launched a drive to identify billions of dollars worth of art stolen from Holocaust victims throughout Europe .		
World Jewish Congress EntityMentionSEP	The World Jewish Congress estimates the current value of stolen art at between dlrs 90 billion and dlrs 140 billion .	NA	ewish Congress WikiLabelSEP
Association of Art Museum Directors EntityMentionSEP	In June   the Association of Art Museum Directors in the United States recommended that American art museums check their own collections to determine if any works were stolen during the war and set up a worldwide database for tracking .	NA	tion of Art Museum Directors WikiLabelSEP
Adolf Hitler EntityMentionSEP Germany EntityMentionSEP	Austria was absorbed into Adolf Hitler 's Germany in 1938 and was restored as an independent nation following World War II .	NA NA	itler WikiLabelSEP  WikiLabelSEP
	rr		
	The Nation 's Weather		
Severe thunderstorms EntityMentionSEP Gulf Coast EntityMentionSEP Louisiana EntityMentionSEP Georgia EntityMentionSEP Tennessee EntityMentionSEP	Severe thunderstorms were forecast for much of the Gulf Coast   from Louisiana to Georgia and northward to Tennessee .	Q81054 NA Q224438 NA NA	storm WikiLabelSEP ast of the United States WikiLabelSEP na WikiLabelSEP  (U.S. state) WikiLabelSEP ee WikiLabelSEP
Rain EntityMentionSEP the Carolinas EntityMentionSEP	Rain was forecast in the Carolinas by tonight .	NA NA	 WikiLabelSEP olinas WikiLabelSEP
Lightning EntityMentionSEP hail EntityMentionSEP wind EntityMentionSEP	Lightning   large hail   wind of 60 mph and more than 2 inches of rain were possible .	Q225579 NA	ng WikiLabelSEP  WikiLabelSEP
Ohio Valley EntityMentionSEP	Lighter amounts were expected in the Ohio Valley .	Q243026	ver WikiLabelSEP
Oklahoma EntityMentionSEP	The same storm system roared through Texas and Oklahoma on Thursday   hitting areas with wind   hail and heavy rain .	Q9659	a WikiLabelSEP
Dallas-Fort Worth International Airport EntityMentionSEP	Some flights at Dallas-Fort Worth International Airport were delayed up to seven hours .	Q22349891	Fort Worth International Airport WikiLabelSEP
Northeast EntityMentionSEP Adirondack EntityMentionSEP Green Mountains EntityMentionSEP	In the Northeast   as much as 8 inches of sunnyow were possible in the Adirondack and Green Mountains .	NA NA NA	stern United States WikiLabelSEP ack Mountains WikiLabelSEP ountains WikiLabelSEP
Pennsylvania EntityMentionSEP Maine EntityMentionSEP	sunnyow was forecast from northwesterain Pennsylvania into Maine .	NA NA	vania WikiLabelSEP  WikiLabelSEP
wind-chill EntityMentionSEP freezing EntityMentionSEP	Gusty winds were expected to keep wind-chill readings well below freezing .	Q227554 Q9739	ill WikiLabelSEP g WikiLabelSEP
the West EntityMentionSEP Rockies EntityMentionSEP Southeast EntityMentionSEP Plains EntityMentionSEP	Mostly quiet conditions were forecast for the West   Rockies   Southeast and northerain Plains today .	Q30 NA NA Q392198	 United States WikiLabelSEP ountains WikiLabelSEP stern United States WikiLabelSEP lains WikiLabelSEP
Califorainia EntityMentionSEP Washington EntityMentionSEP Oregon EntityMentionSEP	Showers were possible in the Southerain Califorainia and along the coasts of Washington and Oregon .	NA NA NA	nia WikiLabelSEP ton (state) WikiLabelSEP  WikiLabelSEP
Midwest EntityMentionSEP Great Lakes EntityMentionSEP Northwest EntityMentionSEP mid-Atlantic states EntityMentionSEP	Highs today were forecast to reach the 30s in New England ; the 40s in the Northeast   Midwest   Great Lakes and northerain Rockies ; the 50s in Northwest   mid-Atlantic states and northerain Plains ; and the 60s   70s and 80s in the Southeast   Southwest and southerain Plains .	NA NA Q5491373 NA	ern United States WikiLabelSEP akes WikiLabelSEP  Northwest WikiLabelSEP antic states WikiLabelSEP
temperature EntityMentionSEP Cotulla EntityMentionSEP Alice EntityMentionSEP	The highest temperature reported in the continental United States on Thursday was 90 degrees in the Texas communities of Cotulla and Alice .	Q2460596 NA Q1439	ture WikiLabelSEP , Texas WikiLabelSEP Texas WikiLabelSEP
Grand Marais , Minn EntityMentionSEP	The low was minus-4 at Grand Marais   Minn .	NA	arais, Minnesota WikiLabelSEP
	Report : Plane robbed by gunmen in Nigerian airport		
Air Afrique EntityMentionSEP Boeing EntityMentionSEP Nigeria 's largest international airport EntityMentionSEP Lagos EntityMentionSEP Guardian newspaper EntityMentionSEP	An Air Afrique Boeing -727 jet was the third passenger liner looted in the past month by armed robbers while awaiting takeoff at Nigeria 's largest international airport   the Lagos Guardian newspaper reported on Thursday .	NA NA NA NA	ique WikiLabelSEP  WikiLabelSEP  Mohammed International Airport WikiLabelSEP rdian (Nigeria) WikiLabelSEP
	The thieves broke into the aircraft 's luggage compartment and escaped with a large quantity of baggage as the plane was awaiting permission to take off from the Lagos international airport control tower around 9 p.m. on Tuesday night   the Guardian said .		
	It was not clear where the airliner was destined .		
	There was no immediate confirmation of the report .		
distress call EntityMentionSEP	The plane 's captain   who noticed the theft   sent a distress call that went unanswered by airport officials .	NA	s signal WikiLabelSEP
Security EntityMentionSEP	Security personnel on duty later said said they were unable to capture the culprits because their only security vehicle had been taken away for routine maintenance .	Q2526135	 security WikiLabelSEP
	In another incident last week involving an unidentified passenger jet   landing gear worth dlrs 1 million was stripped from while the plane was waiting to take off   the newspaper said .		
Cameroon Airlines EntityMentionSEP tarmac EntityMentionSEP	In May   a Cameroon Airlines plane was robbed of its luggage after armed thieves blocked the plane on the tarmac with a large log .	NA NA	n Airlines WikiLabelSEP  WikiLabelSEP
	The robberies came despite orders from airport security officials to shoot suspected thieves on sight .		
Nigeria EntityMentionSEP violent crime EntityMentionSEP	Nigeria   Africa 's most populous country   has a notoriously high rate of violent crime accompanied by a breakdown of law and order under years of military rule .	NA Q83267	 WikiLabelSEP  crime WikiLabelSEP
	( fa-gam )		
South Africa EntityMentionSEP	Report : South Africa n truth panel to condemn ANC	NA	frica WikiLabelSEP
apartheid EntityMentionSEP African National Congress EntityMentionSEP human rights EntityMentionSEP torture EntityMentionSEP bomb EntityMentionSEP broadcaster EntityMentionSEP	A panel probing apartheid - era abuses has accused the African National Congress of human rights violations   including torture and bomb attacks   the state broadcaster said Monday .	NA Q400160 NA NA Q231901	id in South Africa WikiLabelSEP  National Congress WikiLabelSEP ights WikiLabelSEP  WikiLabelSEP sting WikiLabelSEP
white rule EntityMentionSEP	The ANC   which led the struggle against white rule and now is in power   previously has acknowledged it was told to expect implication in right violations .	NA	t minority WikiLabelSEP
Truth and Reconciliation Commission EntityMentionSEP	The Truth and Reconciliation Commission will release its final report on 2 1-2 years of investigation on Thursday .	NA	nd Reconciliation Commission (South Africa) WikiLabelSEP
	The report was expected to place overwhelming blame for the era 's abuses on white governments and their brutal security services .		
South African Broadcasting Corp. EntityMentionSEP	"South African Broadcasting Corp. radio said it had been leaked a "" preliminary document '' which condemns the ANC as politically and morally responsible for gross human rights violations during and after the fall of apartheid ."	NA	frican Broadcasting Corporation WikiLabelSEP
	"An ANC spokesman   Thabo Masebe   said he believed the news report referred to a commission letter sent in advance "" informing us of its intention to implicate the ANC in gross human rights violations . ''"		
	Commission officials could not immediately be reached for comment .		
commissioners EntityMentionSEP	The ANC was nervous enough about the report to request a meeting with commissioners earlier this month .	NA	ioner WikiLabelSEP
	The panel refused   to avoid appearing embarrassed .		
land mines EntityMentionSEP Angola EntityMentionSEP	The party says the accusations against it likely would center on the planting of land mines on border farms   abuses at its military camps in Angola and bombings .	NA NA	ne WikiLabelSEP  WikiLabelSEP
	( djw )		
	Iranian POW negotiator holds talks with Iraqi ministers		
Iran EntityMentionSEP prisoner of war EntityMentionSEP Iraqi Cabinet ministers EntityMentionSEP Iraqi News Agency EntityMentionSEP	The head of Iran 's prisoner of war commission met with two Iraqi Cabinet ministers Saturday in a bid to glean information about thousands of Iranian POWs allegedly in Iraq   the official Iraqi News Agency reported .	NA NA NA NA	 WikiLabelSEP r of war WikiLabelSEP  of Iraq WikiLabelSEP l Iraqi News Agency WikiLabelSEP
Mohammed Saeed al-Sahhaf EntityMentionSEP Missing-In-Action EntityMentionSEP	"Iraqi Foreign Minister Mohammed Saeed al-Sahhaf told Abdullah al-Najafi that the two states needed to "" speed up the closure of what remains from the POW and Missing-In-Action file   '' INA said ."	NA NA	d Saeed al-Sahhaf WikiLabelSEP  in action WikiLabelSEP
	The issue of POWs and missing persons remains a stumbling block to normalizing relations between the two neighbors .		
Iran-Iraq War EntityMentionSEP	Iraq has long maintained that it has released all Iranian prisoners captured in the 1980-88 Iran-Iraq War .	NA	aq War WikiLabelSEP
International Committee of the Red Cross EntityMentionSEP	The countries accuse each other of hiding POWs and preventing visits by the International Committee of the Red Cross to prisoner camps .	NA	tional Committee of the Red Cross WikiLabelSEP
Baghdad EntityMentionSEP Associated Press EntityMentionSEP	The ICRC representative in Baghdad   Manuel Bessler   told The Associated Press that his organization has had difficulty visiting POWs on both sides on a regular basis .	NA NA	 WikiLabelSEP ted Press WikiLabelSEP
	In April   Iran released 5 584 Iraqi POWs and Iraq freed three POWs and 316 Iranians it classified as civil law detainees in the largest exchange since 1990 .		
	More than 1 million people were killed or wounded in the Iran-Iraq War .		
	ENGLISH		
Viravaidya EntityMentionSEP SET EntityMentionSEP corporate ethics EntityMentionSEP	Viravaidya 's plan to set up a watchdog company to monitor SET - listed companies and expose possible abuses of corporate ethics .	NA NA NA	Viravaidya WikiLabelSEP ex WikiLabelSEP s ethics WikiLabelSEP
	I agree with him whole-heartedly and would like to know where to mail my checks to subscribe to the company 's shares .		
	Could you advise ?		
lifestyle EntityMentionSEP executives EntityMentionSEP banks EntityMentionSEP finance EntityMentionSEP	Also   I fully support his request for the media to report on the lifestyle of former executives of the failed banks and finance companies .	NA NA NA	le (sociology) WikiLabelSEP xecutive officer WikiLabelSEP  WikiLabelSEP
Bank of Thailand EntityMentionSEP justice system EntityMentionSEP	We all know too well that these people will not be punished legally because of the inefficiency of the Bank of Thailand in collecting evidence against them and of our justice system in delivering timely justice .	Q869 NA	 Thailand WikiLabelSEP  national legal systems WikiLabelSEP
Thai people EntityMentionSEP	It is the media 's job to discover how these guys are better off after destroying our country   and it is the Thai people 's job to socially punish them .	NA	ople WikiLabelSEP
newspapers EntityMentionSEP TV stations EntityMentionSEP	I would like to propose that newspapers and TV stations play up this issue ( the continued luxurious lifestyle of the former executives ) to attract more public attention   and I will give them Bt20  000 of my hard-earned salary with my full blessing .	NA Q62536	er WikiLabelSEP ion channel WikiLabelSEP
	Artit Krichphiphat ( An ordinary Thai citizen who wants to see the right things get done ) Editor 's note : Khun Mechai will organise a seminar on the plan on June 7 at the Telephone Organisation of Thailand at 10 am .		
	The media already has the duty to cover such issues without additional financial reward .		
	Hungarian government and Jewish communities agree on compensation		
Hungarian EntityMentionSEP Hungarian Jewish EntityMentionSEP communist EntityMentionSEP MTI EntityMentionSEP	The Hungarian government and the Federation of Hungarian Jewish Communities signed an agreement Thursday on collective compensation for communist - era confiscations   the state news agency MTI reported .	NA NA NA NA	 WikiLabelSEP  of the Jews in Hungary WikiLabelSEP sm WikiLabelSEP Távirati Iroda WikiLabelSEP
nationalization EntityMentionSEP	The financial basis for the funding is real estate that belonged to the Jewish communities and fell victim to nationalization under the communists .	NA	lization WikiLabelSEP
forints EntityMentionSEP	"Instead of getting back the actual property _ 152 schools and other buildings _ the assessed value of which is 13 511 000 000 forints ( dlrs 63 million )   the Jewish community collectively is to get a percentage annually   starting with the current year   when 608 million forints ( dlrs 2.9 million ) will be paid . """	NA	an forint WikiLabelSEP
social welfare EntityMentionSEP	The money will be mainly used for education   religious services   social welfare   health service   and charity ends   '' Gusztav Zoltai   executive director of the Federation   said .	NA	 WikiLabelSEP
	There are between 80 000 and 100 000 Jews in Hungary .		
the Holocaust EntityMentionSEP	Some 600 000 were killed in the Holocaust .	NA	ocaust WikiLabelSEP
	When the communists assumed full power in 1948   they started a wave of nationalizations that spared no one   including the Jewish community .		
