Entity	Sentence	Uri	WikiTitle
Neolithic EntityMentionSEP	Wijnand van der Sanden has also published several works on Neolithic	Q223987	ic WikiLabelSEP
state highway EntityMentionSEP U.S. state EntityMentionSEP Alabama EntityMentionSEP	State Route 13 ( SR-13 ) is a state highway in the western part of the U.S. state of Alabama .	NA Q299196 NA	ighway WikiLabelSEP ate WikiLabelSEP  WikiLabelSEP
	Except for a portion roughly between and   SR-13 is the unsigned designation for .		
	Thus   while the total distance of the route is over   as an independently signed route   SR-13 is only long .		
	The southern terminus of SR-13 and US-43 is at their junction with and unsigned in Mobile .		
Tennessee EntityMentionSEP Killen EntityMentionSEP Lauderdale County EntityMentionSEP	The northern terminus of the route is on US-43 at the Tennessee state line north of Killen in Lauderdale County .	NA Q173 NA	ee WikiLabelSEP  Alabama WikiLabelSEP ale County, Alabama WikiLabelSEP
Fayette County EntityMentionSEP Russellville EntityMentionSEP Franklin County EntityMentionSEP	As a signed route   the southern terminus of the route is at the junction of US-43 and in southern Fayette County   and the northern terminus as at US-43 and south of Russellville in Franklin County .	NA NA NA	 County, Alabama WikiLabelSEP ville, Alabama WikiLabelSEP n County, Alabama WikiLabelSEP
	East of   SR-13 diverts from US-43 and becomes a signed route that parallels the to the east .		
Walker EntityMentionSEP Winston EntityMentionSEP Marion EntityMentionSEP Franklin EntityMentionSEP	SR-13 leads through rural areas of Fayette   Walker   Winston   Marion and Franklin	NA NA NA	County, Alabama WikiLabelSEP  County, Alabama WikiLabelSEP n County, Alabama WikiLabelSEP
World Cup EntityMentionSEP alpine ski racer EntityMentionSEP Austria EntityMentionSEP World Champion EntityMentionSEP	Ulrike Maier ( 22 October 1967 -- 29 January 1994 ) was a World Cup alpine ski racer from Austria   a two-time World Champion in .	NA Q130949 NA NA	ine Ski World Cup WikiLabelSEP skiing WikiLabelSEP  WikiLabelSEP ine World Ski Championships WikiLabelSEP
Rauris EntityMentionSEP Salzburg EntityMentionSEP World Championships EntityMentionSEP 1989 EntityMentionSEP 1991 EntityMentionSEP	Born in Rauris   Salzburg   where her father ran a ski school   Maier won the gold medal at the World Championships in both 1989 and 1991 .	NA NA NA NA NA	 WikiLabelSEP g (state) WikiLabelSEP ine World Ski Championships WikiLabelSEP ine World Ski Championships 1989 WikiLabelSEP ine World Ski Championships 1991 WikiLabelSEP
	She also took home the silver medal in the 1991 event .		
1992 EntityMentionSEP	Her first of five World Cup wins came in November 1992 and she had 21 podiums 59 top ten finishes in her World Cup career .	NA	pine Skiing World Cup WikiLabelSEP
1994 Winter Olympics EntityMentionSEP Garmisch-Partenkirchen EntityMentionSEP Germany EntityMentionSEP	Two weeks prior to the 1994 Winter Olympics   the women 's World Cup was in Garmisch-Partenkirchen   Germany   in late January .	NA NA NA	skiing at the 1994 Winter Olympics WikiLabelSEP h-Partenkirchen WikiLabelSEP  WikiLabelSEP
downhill EntityMentionSEP Garmisch Classic EntityMentionSEP	The downhill on the classic Kandahar course at Garmisch Classic was held on Saturday   January 29   following an overnight snowfall .	Q9927 NA	l WikiLabelSEP h Classic WikiLabelSEP
	In a narrow part of the lower course less than twenty seconds from the finish   Maier 's right ski caught an inside edge at   possibly from a patch of soft snow   and caused a crash which broke her neck .		
Murnau EntityMentionSEP	She died of her injuries shortly after being evacuated to the hospital in nearby Murnau .	NA	am Staffelsee WikiLabelSEP
1994 EntityMentionSEP Spain EntityMentionSEP	At age 26   she had thought to retire at the end of the 1994 season.However   she was reconsidering her decision in the days before the fateful downhill run   planning to continue until in Spain .	NA NA	pine Skiing World Cup WikiLabelSEP  WikiLabelSEP
	Unlike most other fatal skiing accidents   her crash happened during a live television broadcast .		
	Maier was survived by her daughter Melanie ( b. 1989 ) and was buried in her home village of Rauris   where thousands attended her funeral .		
Anita Wachter EntityMentionSEP	Teammate and close friend Anita Wachter wore Maier 's world championship medals in the procession .	Q58410265	achter WikiLabelSEP
	Initially it was claimed that her death was caused by hitting a wooden timing post .		
	Based on that claim   Maier 's fiancé Hubert Schweighhofer criticized the organizers of the race and filed suit against them .		
	However   several months later the court found that Maier actually did not hit the timing post with her head   but probably broke her neck by crashing into a pile of snow on the border of the race course .		
	The court did not find any negligence from the organizers and dismissed the suit .		
FIS EntityMentionSEP	Manslaughter charges against two FIS	NA	tional Ski Federation WikiLabelSEP
American EntityMentionSEP photographer EntityMentionSEP author EntityMentionSEP	Frances Aretta Carpenter ( April 30   1890 -- November 2   1972 ) was an American photographer and author .	NA NA NA	States WikiLabelSEP apher WikiLabelSEP  WikiLabelSEP
Frank G. Carpenter EntityMentionSEP	She was the daughter of   and worked closely with   Frank G. Carpenter .	NA	. Carpenter WikiLabelSEP
Washington , D.C. EntityMentionSEP	Frances Aretta Carpenter was born in Washington   D.C. in 1890 .	NA	ton, D.C. WikiLabelSEP
	Her mother was Joanna Condict .		
Frank G. Carpenter EntityMentionSEP	Her father was Frank G. Carpenter .	NA	. Carpenter WikiLabelSEP
	In 1912 she graduated from Smith College .		
	She photographed subjects for her fathers books .		
	She traveled with him from 1908 until 1915 .		
	They traveled throughout the world .		
	On April 6   1920   Carpenter married William Chapin Huntington .		
Embassy of the United States , Paris EntityMentionSEP United States Foreign Service EntityMentionSEP	He worked at the Embassy of the United States   Paris and the United States Foreign Service from 1920 until 1961 .	NA NA	 of the United States, Paris WikiLabelSEP States Foreign Service WikiLabelSEP
	Carpenter traveled with Huntington .		
	W. Chapin Huntington died in 1958 .		
	The couple had two children : Joanna Huntington Noel and Edith Chapin Huntington Williams .		
Canada EntityMentionSEP	In the early 1960s she visited Canada and the .	NA	 WikiLabelSEP
Africa EntityMentionSEP	In 1964 she visited Africa and traveled throughout the continent by car .	NA	 WikiLabelSEP
Japan EntityMentionSEP Korea EntityMentionSEP	In 1966 they visited Japan and Korea .	NA	 WikiLabelSEP
	She edited work for her father   including Carp 's Washington   a memoir of his about working in Washington   D.C. .		
	It was published in 1960 .		
	She wrote s and work about women artists .		
Royal Geographical Society EntityMentionSEP	Carpenter was a fellow for the Royal Geographical Society .	NA	eographical Society WikiLabelSEP
	She was president of the Smith College Alumnae Association .		
	She was also on their Board of Trustees from 1936 until 1944 .		
	From 1960 until 1930 she was on the Board of Counselors .		
	She also served as vice president of the from 1939 until 1942 .		
Sulgrave Club EntityMentionSEP Cosmos Club EntityMentionSEP Cosmopolitan Club EntityMentionSEP	She was also a member of the Sulgrave Club   the Cosmos Club   the and the Cosmopolitan Club .	NA Q182949 NA	e Club WikiLabelSEP Club WikiLabelSEP litan Club (New York) WikiLabelSEP
	She died on November 2   1972 .		
Oak Hill Cemetery EntityMentionSEP	Carpentered is interred at Oak Hill Cemetery   Washington   D.C. .	NA	l Cemetery (Washington, D.C.) WikiLabelSEP
	The Frances Carpenter Papers are held in the collection of the Sophia Smith Collection at Smith College .		
Library of Congress EntityMentionSEP negatives EntityMentionSEP	The Library of Congress has a collection of approximately 7 000 negatives	NA NA	 of Congress WikiLabelSEP e (photography) WikiLabelSEP
Secunderabad EntityMentionSEP Andhra Pradesh EntityMentionSEP	Satavahana Express ( ; Hindi : - शातवाहना एक्सप्रेस )   is an Intercity Express running between Vijayawada and Secunderabad in the Andhra Pradesh state .	Q26086501 Q3401193	rabad WikiLabelSEP Pradesh WikiLabelSEP
Vijayawada EntityMentionSEP Indian Railways EntityMentionSEP	The Vijayawada Division of of Indian Railways administers this train .	Q154614 NA	ada WikiLabelSEP Railways WikiLabelSEP
	The train covers in just 5 hours and 35 minutes .		
Mahabubabad EntityMentionSEP Madhira EntityMentionSEP	Due to the increasing demand   Mahabubabad and Madhira were added as stops to the train .	Q201020 NA	abad WikiLabelSEP  WikiLabelSEP
Kazipet EntityMentionSEP Warangal EntityMentionSEP Mahabubabad EntityMentionSEP Khammam EntityMentionSEP Madhira EntityMentionSEP Vijayawada EntityMentionSEP	The train halts at Kazipet   Warangal   Mahabubabad   Khammam and Madhira before reaching Vijayawada Junction.This is the one of Intercity expresses that depart from Vijayawada early in the morning .	NA Q9927 Q201020 Q154614	 WikiLabelSEP l WikiLabelSEP abad WikiLabelSEP ada WikiLabelSEP
	The other are and express .		
	The rake composition is SLR   UR   UR   UR   UR   UR   PC   D1   D2   D3   D4   D5   C1   UR   UR   UR   SLR making a total of 18 coaches .		
Lallaguda EntityMentionSEP	This train is hauled by a WAP-7 locomotive of the Lallaguda shed .	NA	da WikiLabelSEP
Andhra EntityMentionSEP Maharashtra EntityMentionSEP Madhya Pradesh EntityMentionSEP Vidarbha EntityMentionSEP Karnataka EntityMentionSEP Goa EntityMentionSEP	The train is called in honour of the which ruled Andhra and parts of Maharashtra   Madhya Pradesh   Vidarbha   Karnataka and Goa .	NA Q15946311 Q3401193 Q9659 Q217485 NA	 Andhra WikiLabelSEP htra WikiLabelSEP Pradesh WikiLabelSEP a WikiLabelSEP ka WikiLabelSEP  WikiLabelSEP
	Satavahana Express starts from Vijayawada Junction at 06:10 IST and reaches Secunderabad Junction at 11:45 IST .		
	On its return journey it starts from Secunderabad Junction at 16:15 IST and reaches Vijayawada Junction at 21:50 IST .		
Secunderabad EntityMentionSEP	It has an average delay of 25 minutes to reach Secunderabad and delay of 20 minutes to reach Vijayawada	Q26086501	rabad WikiLabelSEP
BA EntityMentionSEP LLB EntityMentionSEP LLM EntityMentionSEP QC EntityMentionSEP retired EntityMentionSEP jurist EntityMentionSEP justice EntityMentionSEP Australia 's EntityMentionSEP federal court EntityMentionSEP	Brian Tamberlin   BA   LLB   LLM   QC is a retired jurist   barrister   commentator and justice in the Australia 's federal court .	NA NA NA Q17131110 Q6667893 NA NA NA	r of Arts WikiLabelSEP r of Laws WikiLabelSEP of Laws WikiLabelSEP  Counsel WikiLabelSEP ent WikiLabelSEP  WikiLabelSEP ia WikiLabelSEP  Court of Australia WikiLabelSEP
bachelor 's EntityMentionSEP arts EntityMentionSEP law EntityMentionSEP University of Sydney EntityMentionSEP	Tamberlin received both is bachelor 's of arts and law from the University of Sydney .	NA NA NA NA	r's degree WikiLabelSEP r of Arts WikiLabelSEP r of Laws WikiLabelSEP ity of Sydney WikiLabelSEP
Harvard Law School EntityMentionSEP	He later received his in law from Harvard Law School .	NA	 Law School WikiLabelSEP
New South Wales EntityMentionSEP town planning law EntityMentionSEP commercial law EntityMentionSEP administrative law EntityMentionSEP Queen 's Counsel EntityMentionSEP	Tamberlin was called to the New South Wales bar in 1967 specializing in town planning law   commercial law and administrative law and   and became a Queen 's Counsel in 1981 .	NA Q126199 NA NA Q17131110	th Wales WikiLabelSEP lanning WikiLabelSEP ial law WikiLabelSEP trative law WikiLabelSEP  Counsel WikiLabelSEP
	Tamberlin was appointed a federal court justice in 1994 .		
federal constitutional law EntityMentionSEP administrative law EntityMentionSEP intellectual property EntityMentionSEP United States EntityMentionSEP Vietnam EntityMentionSEP Thailand EntityMentionSEP	Tamberlin engaged in lecturing initiatives in legal areas such as federal constitutional law   administrative law and intellectual property in several countries such as the United States   Vietnam and Thailand .	NA NA NA NA NA Q9884	utional law WikiLabelSEP trative law WikiLabelSEP ctual property WikiLabelSEP States WikiLabelSEP  WikiLabelSEP d WikiLabelSEP
Indonesia EntityMentionSEP AusAID EntityMentionSEP professor EntityMentionSEP Philip Lewis Griffiths EntityMentionSEP	He traveled to Indonesia in AusAID programs operated by the Law Faculty for Indonesian judges   with professor Philip Lewis Griffiths .	NA NA NA NA	ia WikiLabelSEP  WikiLabelSEP ducation WikiLabelSEP Lewis Griffiths WikiLabelSEP
Supreme Court of the Australian Capital Territory EntityMentionSEP	Tamberlin has also served as a justice in the Supreme Court of the Australian Capital Territory .	NA	 Court of the Australian Capital Territory WikiLabelSEP
Administrative Appeals Tribunal EntityMentionSEP	Following Tamberlin 's retirement from the federal court of Australia in March 2009   he became the Deputy President of the Administrative Appeals Tribunal   an independent body which reviews the decisions of the .	NA	trative Appeals Tribunal WikiLabelSEP
	On 27 February 2009   A ceremony marking the retirement of Justice Tamberlin from the federal court was held .		
Labor government 's EntityMentionSEP	Recently   Tamberlin headed a royal commission-style inquiry that was investigating the former Labor government 's	NA	ian Labor Party WikiLabelSEP
non-governmental organization EntityMentionSEP subsidies EntityMentionSEP The Community Chest of Hong Kong EntityMentionSEP sponsor EntityMentionSEP	The Hong Kong Family Welfare Society ( HKFWS ; ) is a non-governmental organization that runs on subsidies donated by the government   donations from The Community Chest of Hong Kong and individual sponsor ships .	NA NA NA NA	ernmental organization WikiLabelSEP  WikiLabelSEP munity Chest of Hong Kong WikiLabelSEP  (commercial) WikiLabelSEP
well-being EntityMentionSEP	HKFWS focuses on social services through a family perspective that aims to enhance the well-being of families and individuals in Hong Kong .	NA	 of life WikiLabelSEP
family EntityMentionSEP marriage EntityMentionSEP friendship EntityMentionSEP	Services such as counseling are used to help reconcile issues related to family   marriage   and friendship to help prevent family breakups and other societal problems .	NA Q9907 Q193818	 WikiLabelSEP e WikiLabelSEP hip WikiLabelSEP
	The HKFWS now has over 30 service centers and networks helping families across Hong Kong .		
mission statement EntityMentionSEP	"HKFWS 's official mission statement is : """	Q1456029	 statement WikiLabelSEP
community EntityMentionSEP	"With a family perspective   we are committed to delivering quality and professional social services to enhance the well-being of families and individuals in Hong Kong and to foster a caring community . """	Q7859608	ty WikiLabelSEP
public policy EntityMentionSEP	HKFWS pioneers service projects to meet changing needs of the people and advocates a comprehensive public policy for needy families .	Q1156854	policy WikiLabelSEP
	"The "" Hong Kong Family Welfare Society "" was formally known as the Social Service Centre of the Churches ."		
	It was founded in 1938   but only became a public agency on January 1   1949 .		
World War II EntityMentionSEP	The Society started out by being heavily involved with relief work after World War II .	NA	ar II WikiLabelSEP
	After concerns for the growth of distressed families resonated with the members   the Society further expanded its scope .		
	Today the bulk of their work revolves around counselling families with management difficulties or communication issues .		
	In addition   the Society focuses on preventive measures for family problems   resulting in the creation of Family Life Education in 1971 .		
	Other services like Home Help   School Social Work services   Clinical Psychological services and Foster Care came about in 1971   1979 and 1984 respectively .		
	HKFWS services include :		
Tuen Mun EntityMentionSEP	# Family resource centre in Tuen Mun	Q9937	n WikiLabelSEP
	# ' Drop-in ' services for single parents		
	# Mental health services		
	# Senior social work practice		
	# Therapeutic group for abusive families		
	# Emergency foster care		
	# Volunteer service		
	# Family aid services		
Mainland EntityMentionSEP	# Services for new arrivals from the Mainland	NA	d China WikiLabelSEP
	# Carers support service		
	# Peer/divorce/family mediation service		
	# Family retreat centre		
	# Clinical psychological service		
	# Youth employment		
	# Community rehabilitation and pain relief service		
	One programme since 1997 is the Integrated Elderly and Community Support Service to alleviate the problems associated with an .		
West Kowloon EntityMentionSEP East Kowloon ( Shun Lee ) EntityMentionSEP New Territories ( Kwai Fong ) EntityMentionSEP	Between 2002 and 2004   the Society made help accessible by piloting programs on Integrated Family Service Centres at its West Kowloon   East Kowloon ( Shun Lee ) and New Territories ( Kwai Fong ) Centres .	NA Q9907 NA	 WikiLabelSEP e WikiLabelSEP ritories WikiLabelSEP
	For information on these centres :		
	One of the methods of relieving tension in families is the use of mediation .		
	This is vital due to the sharp increase in divorce rates in Hong Kong and the lack of communication between parents and children .		
	Mediation is used in a bid to help salvage the family situation .		
	It teaches individuals to reach a settlement acceptable to all parties .		
	The Society also provides five types of services and programs namely ; Special and Innovative Services   Children and Youth   Elderly and Community   Family and Child Care .		
	The Special and Innovative Services includes programmes for employment and fund assistance .		
	HKFWS also has a subsidiary association called the where seminars and mediation services are available to the public .		
	Due to the nature of the HKFWS as a   the Society relies largely on donations from the public and even the government .		
The Hong Kong Jockey Club Charities Trust EntityMentionSEP charitable foundations EntityMentionSEP	Important sources are the   The Hong Kong Jockey Club Charities Trust   civic minded companies   charitable foundations and individual sponsorships .	NA NA	ng Jockey Club WikiLabelSEP ble organization WikiLabelSEP
	The HKFWS is made up of employees and a team of volunteers .		
	The Society is composed of the following committees :		
	A detailed list of the structure and committee members is here :		
	The Society encourages individuals to become volunteers .		
	The function of the Corporate Volunteer Service is to link voluntary organizations and service users to volunteers .		
	Over the years   many corporations   schools   non-profit organizations and government bodies have played their part in providing services to the HKFWS service users that consists of ethnic minorities   children   elderly   and foster care families .		
	The organization seeks to advocate family volunteering so that family members will share experiences thus producing solidarity .		
	At present   the revamped services operated by the Society includes five Integrated Family Service Centres   eight Integrated Home Care Teams ( in 15 centres )   one Integrated Children and Youth Service Centre and one Neighbourhood Elderly Centre .		
	The HKFWS and its branches have participated in campaigns co-organized by Ho-Sum that has allowed members to interact with the elderly   handicapped   young children   youths and volunteers .		
	These campaigns are aimed at building relationships between family units and the Hong Kong society .		
	To provide short-term financial assistance to children from families in need so that they can enjoy proper care   full development and have growth in physical   psychological   social and learning aspects .		
	More information :		
	The Society has a strong commitment to research .		
Mediation EntityMentionSEP secondary school EntityMentionSEP primary school EntityMentionSEP	To date   11 research studies have been conducted on the services of School   Family Casework   Integrated Family Service Centres   Child Protection Registry   Alternative to Violence Project   Peer Mediation   and various problems involving secondary school and primary school	Q226361 NA Q8434	on WikiLabelSEP hool WikiLabelSEP  education WikiLabelSEP
Tasmanian Legislative Council EntityMentionSEP	The Electoral division of Apsley is one of the 15 electorates or seats in the Tasmanian Legislative Council .	NA	an Legislative Council WikiLabelSEP
upper house EntityMentionSEP Murchison EntityMentionSEP	It is the second-largest upper house electorate in the state by area after Murchison .	NA NA	an Legislative Council WikiLabelSEP al division of Murchison WikiLabelSEP
	The total area of the Apsley division is 19 204 km ² .		
	The electorate created in 1999 is named after the Apsley River and the .		
	These were named by William Lyne in honour of Lord Apsley   earl of Bathurst .		
	As of October 2010   there were 22 593 enrolled voters in Apsley .		
	The current member in the is who was elected in 2004 and re-elected unopposed in 2010 .		
	Members serve six-year terms   before facing re-election : the next election in Apsley is due in 2016 .		
Pipers River EntityMentionSEP Scottsdale EntityMentionSEP Evandale EntityMentionSEP Swansea EntityMentionSEP Derby EntityMentionSEP Lilydale EntityMentionSEP Bridport EntityMentionSEP Campbell Town EntityMentionSEP St Helens EntityMentionSEP Branxholm EntityMentionSEP Avoca EntityMentionSEP Fingal EntityMentionSEP Bicheno EntityMentionSEP Bagdad EntityMentionSEP Bellingham EntityMentionSEP Tomahawk EntityMentionSEP Ross EntityMentionSEP St Marys EntityMentionSEP Rossarden EntityMentionSEP	Towns within the division include : Pipers River   Scottsdale   Evandale   Swansea   Derby   Lilydale   Bridport   Campbell Town     St Helens   Branxholm   Avoca   Fingal   Bicheno   Bagdad   Bellingham   Tomahawk   Ross   St Marys   Rossarden	NA NA NA NA Q34366 NA NA NA NA Q34366 NA NA NA NA NA	River, Tasmania WikiLabelSEP ale, Tasmania WikiLabelSEP e, Tasmania WikiLabelSEP , Tasmania WikiLabelSEP Tasmania WikiLabelSEP t, Tasmania WikiLabelSEP l Town, Tasmania WikiLabelSEP ns, Tasmania WikiLabelSEP lm, Tasmania WikiLabelSEP  Tasmania WikiLabelSEP ham, Tasmania WikiLabelSEP k, Tasmania WikiLabelSEP asmania WikiLabelSEP s, Tasmania WikiLabelSEP en, Tasmania WikiLabelSEP
National Museum of Singapore EntityMentionSEP	The Goh Seng Choo Gallery is located within the National Museum of Singapore .	NA	l Museum of Singapore WikiLabelSEP
William Farquhar EntityMentionSEP	The gallery hosts the collection of William Farquhar ` s natural history drawings .	Q1397056	 Farquhar WikiLabelSEP
	The gallery is named after the museum 's chairman   Mr G.K. Goh 's late father Mr Goh Seng Choo in his honor .		
Singapore History Gallery EntityMentionSEP	The collection comprises 477 paintings in total   70 in the main gallery whereas the rest are displayed in the Founding of Singapore section of the Singapore History Gallery .	NA	re History Gallery WikiLabelSEP
	This is due to space constraint as many of the paintings occupy the galleries .		
William Farquhar EntityMentionSEP Resident and Commandant of Melaka EntityMentionSEP	Prior to his tenure as Singapore ’s first Resident and Commandant   William Farquhar served as Resident and Commandant of Melaka from 1803 to 1818 .	Q1397056 NA	 Farquhar WikiLabelSEP alacca WikiLabelSEP
	During this period   he made several important botanical and zoological discoveries   and amassed a sizable collection of natural history drawings .		
Chinese EntityMentionSEP Malay Peninsula EntityMentionSEP Royal Asiatic Society of Great Britain and Ireland EntityMentionSEP	Painted by unidentified Chinese artists   Farquhar had commissioned these which depict the diverse flora and fauna of the Malay Peninsula to the Royal Asiatic Society of Great Britain and Ireland .	NA NA NA	 WikiLabelSEP eninsula WikiLabelSEP siatic Society of Great Britain and Ireland WikiLabelSEP
Singapore EntityMentionSEP Sotheby 's EntityMentionSEP London EntityMentionSEP $ 3 millon EntityMentionSEP	These 477 drawings have since found their way back to Singapore through Mr G.K. Goh   who purchased the paintings at a Sotheby 's auction held in London for $ 3 millon .	Q611130 Q2269199 NA NA	re WikiLabelSEP 's WikiLabelSEP  WikiLabelSEP re dollar WikiLabelSEP
National Museum of Singapore EntityMentionSEP	The complete set was donated to the National Museum of Singapore	NA	l Museum of Singapore WikiLabelSEP
CB EntityMentionSEP CBE EntityMentionSEP	Sir Evelyn Dalrymple Fanshawe CB   CBE ( 1895 -- 1979 ) was a British and the Director of the in the from 1948-1952 .	NA NA	f the Bath WikiLabelSEP f the British Empire WikiLabelSEP
Sir Evelyn Wood EntityMentionSEP Hew Dalrymple Fanshawe EntityMentionSEP	A grandson on his mother 's side of Sir Evelyn Wood   he was born to Lt. Gen. Sir Hew Dalrymple Fanshawe and Anna Paulina Mary Wood in 1895 .	NA NA	Wood (British Army officer) WikiLabelSEP rymple Fanshawe WikiLabelSEP
	He married Marie Harari in 1920 .		
France EntityMentionSEP Palestine EntityMentionSEP Mesopotamia EntityMentionSEP Russia EntityMentionSEP Syria EntityMentionSEP World War I EntityMentionSEP Aide-de-camp EntityMentionSEP General Officer Commanding EntityMentionSEP	He was commissioned into the in 1914 and saw service in France   Palestine   Mesopotamia     Russia and Syria during World War I ; among his assignments during this period was Aide-de-camp to his father who was General Officer Commanding the British Cavalry Corps ( 1915 ) .	NA NA Q322274 NA NA NA	 WikiLabelSEP ne WikiLabelSEP amia WikiLabelSEP ar I WikiLabelSEP -camp WikiLabelSEP  Officer Commanding WikiLabelSEP
Royal Flying Corps EntityMentionSEP	From 1915-1919 he was seconded to the Royal Flying Corps .	NA	lying Corps WikiLabelSEP
Adjutant EntityMentionSEP	He returned to his regiment as Adjutant in 1919 .	Q9813	t WikiLabelSEP
20th Armoured Brigade EntityMentionSEP Royal Armoured Corps EntityMentionSEP	In 1939 he was appointed Commander of the 20th Armoured Brigade and following promotion to Major General he held the post of the Armoured Training and Commander of the Royal Armoured Corps Training Establishment from 1942 to the end of the War .	NA NA	moured Brigade (United Kingdom) WikiLabelSEP rmoured Corps WikiLabelSEP
UN Relief and Rehabilitation EntityMentionSEP	Fanshawe retired from the Army in 1945 whereupon he became the UN Relief and Rehabilitation Administration Director in the ( 1945 -- 1948 ) .	NA	Nations Relief and Rehabilitation Administration WikiLabelSEP
	Subsequently he was Director of the in the British Zone of Germany from 1948-1952 .		
High Sheriff of Northamptonshire EntityMentionSEP	In 1952 he was attached to the Dominion Countries UN Organisation Mission   and in 1960 was High Sheriff of Northamptonshire	NA	eriff of Northamptonshire WikiLabelSEP
gmina EntityMentionSEP Koło County EntityMentionSEP Greater Poland Voivodeship EntityMentionSEP Poland EntityMentionSEP	Gmina Przedecz is an urban-rural gmina ( administrative district ) in Koło County   Greater Poland Voivodeship   in west-central Poland .	NA Q25396468 NA	 WikiLabelSEP unty WikiLabelSEP  Poland Voivodeship WikiLabelSEP
Przedecz EntityMentionSEP Koło EntityMentionSEP Poznań EntityMentionSEP	Its seat is the town of Przedecz   which lies approximately north-east of Koło and east of the regional capital Poznań .	Q9751 NA	z WikiLabelSEP  WikiLabelSEP
	The gmina covers an area of   and as of 2006 its total population is 4 319 ( out of which the population of Przedecz amounts to 1 771   and the population of the rural part of the gmina is 2 548 ) .		
Arkuszewo EntityMentionSEP Broniszewo EntityMentionSEP Chrustowo EntityMentionSEP Dziewczopólko EntityMentionSEP Dziwie EntityMentionSEP Holenderki EntityMentionSEP Jasieniec EntityMentionSEP Józefowo EntityMentionSEP Katarzyna EntityMentionSEP Kłokoczyn EntityMentionSEP Łączewna EntityMentionSEP Lipiny EntityMentionSEP Mieczysławowo EntityMentionSEP Nowa Wieś Wielka EntityMentionSEP Rogóźno EntityMentionSEP Rybno EntityMentionSEP Zalesie EntityMentionSEP Żarowo EntityMentionSEP Zbijewo-Kolonia EntityMentionSEP Zbijewo-Parcele A EntityMentionSEP	Apart from the town of Przedecz   Gmina Przedecz contains the villages and settlements of Arkuszewo   Broniszewo   Chrustowo   Dziewczopólko   Dziwie   Holenderki   Jasieniec   Józefowo   Katarzyna   Kłokoczyn   Łączewna   Lipiny   Mieczysławowo   Nowa Wieś Wielka   Rogóźno   Rybno   Zalesie   Żarowo   Zbijewo-Kolonia and Zbijewo-Parcele A .	NA NA NA NA NA NA NA NA NA NA NA Q556458 NA NA NA Q133180 NA Q54187 NA NA	wo WikiLabelSEP ewo, Koło County WikiLabelSEP wo, Koło County WikiLabelSEP opólko WikiLabelSEP  WikiLabelSEP rki WikiLabelSEP ec, Greater Poland Voivodeship WikiLabelSEP o, Gmina Przedecz WikiLabelSEP na, Greater Poland Voivodeship WikiLabelSEP yn, Greater Poland Voivodeship WikiLabelSEP a, Greater Poland Voivodeship WikiLabelSEP  Gmina Przedecz WikiLabelSEP ławowo, Greater Poland Voivodeship WikiLabelSEP eś Wielka, Greater Poland Voivodeship WikiLabelSEP , Greater Poland Voivodeship WikiLabelSEP Koło County WikiLabelSEP , Koło County WikiLabelSEP  Greater Poland Voivodeship WikiLabelSEP -Kolonia WikiLabelSEP -Parcele A WikiLabelSEP
Babiak EntityMentionSEP Chodecz EntityMentionSEP Chodów EntityMentionSEP Dąbrowice EntityMentionSEP Izbica Kujawska EntityMentionSEP Kłodawa EntityMentionSEP	Gmina Przedecz is bordered by the gminas of Babiak   Chodecz   Chodów   Dąbrowice   Izbica Kujawska and Kłodawa	NA NA NA NA NA NA	abiak WikiLabelSEP hodecz WikiLabelSEP hodów WikiLabelSEP ąbrowice WikiLabelSEP zbica Kujawska WikiLabelSEP łodawa, Greater Poland Voivodeship WikiLabelSEP
state trunkline highway EntityMentionSEP central portion EntityMentionSEP Lower Peninsula EntityMentionSEP Michigan EntityMentionSEP	M-79 is an east -- west state trunkline highway in the central portion of Lower Peninsula of the U.S. state of Michigan .	NA Q1166 NA Q9937	n State Trunkline Highway System WikiLabelSEP  Michigan WikiLabelSEP eninsula of Michigan WikiLabelSEP n WikiLabelSEP
Hastings EntityMentionSEP M-37 EntityMentionSEP Charlotte EntityMentionSEP M-50 EntityMentionSEP	The western terminus is about southeast of Hastings at the junction with M-37 and the eastern terminus is in downtown Charlotte at the junction with M-50 and ( BL I-69 ) .	NA NA NA	s, Michigan WikiLabelSEP ichigan highway) WikiLabelSEP te, Michigan WikiLabelSEP
Nashville EntityMentionSEP M-66 EntityMentionSEP	It passes through and Nashville   where there is a junction with M-66 .	NA NA	le, Michigan WikiLabelSEP ichigan highway) WikiLabelSEP
	The entire highway is undivided surface road .		
Interstate 69 EntityMentionSEP	It has no direct access with Interstate 69 ( I-69 )   although a sign for the highway is located on southbound I-69 at exit 61 .	NA	ate 69 in Michigan WikiLabelSEP
Battle Creek EntityMentionSEP	The highway was first designated in 1919 between Hastings and Battle Creek .	NA	Creek, Michigan WikiLabelSEP
	It was later moved to run to Charlotte .		
	A section of M-79 was designated as M-214 in the 1930s .		
	M-214 would later be decommissioned as a highway designation and the M-79 designation was reapplied to the roadway .		
	M-79 starts south of Hastings at a three-way intersection with M-37 in .		
Thornapple River EntityMentionSEP	The trunkline runs east and parallel to a section of the Thornapple River through wooded terrain that is interspersed with farm fields .	NA	ple River WikiLabelSEP
	South of Thornapple Lake   M-79 angles southeasterly moving from Quimby Road to Scott Road running parallel to the Thornapple River again into the community of Nashville .		
